dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.3.y.txt,66,3,1,910.0,910.0,910.0,0.0,3.1033821999990323,3.1033821999990323,8.0,715120.0,100.0,0.0,0.0
chao,p5.3.z.txt,66,3,1,910.0,910.0,910.0,0.0,3.1189898000011453,3.1189898000011453,8.0,720160.0,100.0,0.0,0.0
chao,p5.4.a.txt,66,4,1,0.0,0.0,0.0,0.0,0.03041290000328445,0.03041290000328445,1.0,1024.0,100.0,0.0,0.0
chao,p5.4.b.txt,66,4,1,0.0,0.0,0.0,0.0,0.024570499997935258,0.024570499997935258,1.0,1024.0,100.0,0.0,0.0
chao,p5.4.c.txt,66,4,1,20.0,20.0,20.0,0.0,0.04937240000072052,0.04937240000072052,1.0,3040.0,100.0,0.0,0.0
chao,p5.4.d.txt,66,4,1,20.0,20.0,20.0,0.0,0.04426169999715057,0.04426169999715057,1.0,960.0,100.0,0.0,0.0
chao,p5.4.e.txt,66,4,1,20.0,20.0,20.0,0.0,0.058859700002358295,0.058859700002358295,1.0,960.0,100.0,0.0,0.0
chao,p5.4.f.txt,66,4,1,80.0,80.0,80.0,0.0,0.07070359999852371,0.07070359999852371,1.0,6016.0,100.0,0.0,0.0
chao,p5.4.g.txt,66,4,1,130.0,130.0,130.0,0.0,0.17909839999992982,0.17909839999992982,3.0,29760.0,100.0,0.0,0.0
chao,p5.4.h.txt,66,4,1,140.0,140.0,140.0,0.0,0.30786730000181706,0.30786730000181706,5.0,50869.0,100.0,0.0,0.0
chao,p5.4.i.txt,66,4,1,190.0,190.0,190.0,0.0,0.27900180000142427,0.27900180000142427,3.0,26844.0,100.0,0.0,0.0
chao,p5.4.j.txt,66,4,1,270.0,270.0,270.0,0.0,0.4727506999988691,0.4727506999988691,5.0,75202.0,100.0,0.0,0.0
chao,p5.4.k.txt,66,4,1,310.0,310.0,310.0,0.0,0.8003830000016023,0.8003830000016023,8.0,141428.0,100.0,0.0,0.0
chao,p5.4.l.txt,66,4,1,320.0,320.0,320.0,0.0,0.5865794000019378,0.5865794000019378,4.0,53184.0,100.0,0.0,0.0
chao,p5.4.m.txt,66,4,1,390.0,390.0,390.0,0.0,1.3064144999989367,1.3064144999989367,8.0,154288.0,100.0,0.0,0.0
chao,p5.4.n.txt,66,4,1,460.0,460.0,460.0,0.0,1.6070283000008203,1.6070283000008203,8.0,201950.0,100.0,0.0,0.0
chao,p5.4.o.txt,66,4,1,455.0,455.0,455.0,0.0,1.938610700002755,1.938610700002755,8.0,221280.0,100.0,0.0,0.0
chao,p5.4.p.txt,66,4,1,530.0,530.0,530.0,0.0,2.1247570000014093,2.1247570000014093,8.0,304020.0,100.0,0.0,0.0
chao,p5.4.q.txt,66,4,1,580.0,580.0,580.0,0.0,2.2845930000003136,2.2845930000003136,8.0,322589.0,100.0,0.0,0.0
chao,p5.4.r.txt,66,4,1,590.0,590.0,590.0,0.0,2.4906679000014265,2.4906679000014265,8.0,369920.0,100.0,0.0,0.0
